intent,text
find_activity_type,Could you suggest some shopping places?
find_activity_type,Any shopping places?
find_activity_type,Any shopping malls?
find_activity_type,Can you suggest some shopping places?
find_activity_type,Tell me places that I can buy souvenirs
find_activity_type,somewhere that i can buy gifts
find_activity_type,somewhere to shop
find_activity_type,pls suggest some locations to buy stuffs
find_activity_type,Places with nice scenery
find_activity_type,anywhere with local culture
find_activity_type,heritage places?
find_activity_type,tell me suggestions with good views
find_activity_type,any heritage buildings?
find_activity_type,somewhere with nice views
find_activity_type,Could you suggest some scenic attractions?
find_activity_type,Can you suggest some heritage attractions?
find_activity_type,how about some outdoor places?
find_activity_type,how about some indoor places?
find_activity_type,please give suggestions for indoor activities
find_activity_type,please give suggestions for outdoor activities
find_activity_type,give me suggestions for shopping activities
tell_me_more,What's the price?
tell_me_more,Any admission fees
tell_me_more,when is a good time to visit
tell_me_more,how long do people usually spend here
tell_me_more,what is the opening hours
tell_me_more,is it open today
tell_me_more,how much is the entrance fee
tell_me_more,how much time people tour here
tell_me_more,how long to spend here
tell_me_more,when would be less crowded?
tell_me_more,is it open in the morning
tell_me_more,do i need to pay anything to visit?
tell_me_more,what is the visiting hours
tell_me_more,when does it open
tell_me_more,when does it close
tell_me_more,how much does the aquarium cost
tell_me_more,is it free
tell_me_more,is it very crowded in the afternoon
tell_me_more,what time does it close